Reviewer Name,Date,Rating,Review Title,Review Text
"CUcustomer1 reviewUSMay 8, 2024VerifiedI was anxious when I called egcu.org on…I was anxious when I called egcu.org on Monday March 30, 2024.  I spoke with Sara Adams and an IT person (Paul?). Sara is an asset to the establishment, helpful and knowledgeable. I want this commendation to be part of her permanent personnel record and for her to be recognized for her fast, courteous service! Thank you Sara.Linda A. McCannDate of experience: May 01, 2024Reply from Evergreen Credit UnionMay 16, 2024Hi Linda,Thank you very much for sharing your experience with us, and highlighting Sarah and Paul! We're glad they were able to give you peace of mind. All the best,EmmaEvergreen CU",2024-05-08T21:37:23.000Z,"<div class=""star-rating_starRating__4rrcf star-rating_medium__iN6Ty""><img alt=""Rated 5 out of 5 stars"" src=""https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg""/></div>",I was anxious when I called egcu.org on…,"I was anxious when I called egcu.org on Monday March 30, 2024.  I spoke with Sara Adams and an IT person (Paul?). Sara is an asset to the establishment, helpful and knowledgeable. I want this commendation to be part of her permanent personnel record and for her to be recognized for her fast, courteous service! Thank you Sara.Linda A. McCann"
"DLDonna Lamb2 reviewsUSApr 29, 2024VerifiedBest Credit UnionI have been with Evergreen Credit Union for many, many years and look forward to many more years.  in all of those years everyone associated with Evergreen has been helpful and a pleasure to do business with and very, very pleasant.  This includes everyone tellers, customer relations people, mid level management, top dogs. I could thank a lot of the staff by name at the credit union but it would include everyone.  I would like to congratulate Evergreen Credit Union for building such a fine organization. Evergreen Credit Union is a wonderful partner and participant in the neighborhood and beyond. Kudo's Evergreen keep up the good work.Date of experience: April 29, 2024Reply from Evergreen Credit UnionMay 6, 2024Hi Donna,Thank you very much for the kind words! We're so happy to have built a credit union that can serve community members just like you.Best,EmmaEvergreen CU",2024-04-29T23:00:40.000Z,"<div class=""star-rating_starRating__4rrcf star-rating_medium__iN6Ty""><img alt=""Rated 5 out of 5 stars"" src=""https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg""/></div>",Best Credit Union,"I have been with Evergreen Credit Union for many, many years and look forward to many more years.  in all of those years everyone associated with Evergreen has been helpful and a pleasure to do business with and very, very pleasant.  This includes everyone tellers, customer relations people, mid level management, top dogs. I could thank a lot of the staff by name at the credit union but it would include everyone.  I would like to congratulate Evergreen Credit Union for building such a fine organization. Evergreen Credit Union is a wonderful partner and participant in the neighborhood and beyond. Kudo's Evergreen keep up the good work."
"JAJohn and Rose Duran1 reviewUSDec 5, 2023VerifiedWe found Judy Brochu to be sincerely…We found Judy Brochu to be sincerely warm and friendly. Anyone can read a script but Judy was obviously doing more than that.She was knowledgeable and patient and took our information and passed it on by email to the correct department. A few days later the outcome that we requested showed up on our Consolidation Loan. Thank you, Judy. John and Rose DuranDate of experience: November 21, 2023Reply from Evergreen Credit UnionDec 26, 2023Hi John and Rose,Thank you for sharing your experience with us! We're glad Judy helped you with your loan needs. Best,Emma Evergreen CU",2023-12-05T19:39:13.000Z,"<div class=""star-rating_starRating__4rrcf star-rating_medium__iN6Ty""><img alt=""Rated 5 out of 5 stars"" src=""https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg""/></div>",We found Judy Brochu to be sincerely…,"We found Judy Brochu to be sincerely warm and friendly. Anyone can read a script but Judy was obviously doing more than that.She was knowledgeable and patient and took our information and passed it on by email to the correct department. A few days later the outcome that we requested showed up on our Consolidation Loan. Thank you, Judy. John and Rose Duran"
"HHHeidi Hoffman2 reviewsUSFeb 22, 2024VerifiedGreat people and banking experiences I have known about Evergreen Credit Union since my grandmother was a member when it was SD Warren credit union in Westbrook. Evergreen has helped me many times with not only banking but personal & auto loans as well as my family and friends. The staff I have worked with & interacted with at Evergreen are friendly, personable and willing to help whatever my needs might be. I feel good knowing I can make a call and whomever I speak with will try to help or find someone who can, and I look forward to many more year's banking with Evergreen. Thank you!    Date of experience: February 21, 2024Reply from Evergreen Credit UnionMar 4, 2024Thank you, Heidi! We love hearing about families coming to Evergreen. We're happy to help.Best,EmmaEvergreen CU",2024-02-22T16:53:52.000Z,"<div class=""star-rating_starRating__4rrcf star-rating_medium__iN6Ty""><img alt=""Rated 5 out of 5 stars"" src=""https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg""/></div>",Great people and banking experiences,"I have known about Evergreen Credit Union since my grandmother was a member when it was SD Warren credit union in Westbrook. Evergreen has helped me many times with not only banking but personal & auto loans as well as my family and friends. The staff I have worked with & interacted with at Evergreen are friendly, personable and willing to help whatever my needs might be. I feel good knowing I can make a call and whomever I speak with will try to help or find someone who can, and I look forward to many more year's banking with Evergreen. Thank you!"
"DADenise Asselin1 reviewUSFeb 16, 2024VerifiedHappy customers…We like having our financial services locally. We have been With Evergreen Credit Union for over 30 years. They have very knowledgeable representatives who go out of their way to help us. They are truthful with their dealings with us. It is nice to know we can get the solution that fits our needs, at a reasonable price.Date of experience: February 09, 2024Reply from Evergreen Credit UnionFeb 20, 2024We're happy to help you every step of the way, Denise. Thank you for your long-term membership, and for sharing your experience with us!Best,Evergreen CU",2024-02-16T23:16:07.000Z,"<div class=""star-rating_starRating__4rrcf star-rating_medium__iN6Ty""><img alt=""Rated 5 out of 5 stars"" src=""https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg""/></div>",Happy customers…,"We like having our financial services locally. We have been With Evergreen Credit Union for over 30 years. They have very knowledgeable representatives who go out of their way to help us. They are truthful with their dealings with us. It is nice to know we can get the solution that fits our needs, at a reasonable price."
"LALisa A Barry1 reviewUSDec 29, 2023VerifiedEfficiencyThe woman in the office to the left as you enter the bank (Julie?) helped us as she could see that the tellers were busy.  She invited us into her office and helped us with a kind and professional manner.  Always a warm and  welcoming experience at the South Portland branch. We are excited about the new branch in Scarborough opening.Date of experience: December 21, 2023Reply from Evergreen Credit UnionJan 2, 2024Thank you, Lisa! We're happy you had a great experience at our South Portland branch. We're very excited to open our Scarborough branch! Best,EmmaEvergreen CU",2023-12-29T11:51:39.000Z,"<div class=""star-rating_starRating__4rrcf star-rating_medium__iN6Ty""><img alt=""Rated 5 out of 5 stars"" src=""https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg""/></div>",Efficiency,The woman in the office to the left as you enter the bank (Julie?) helped us as she could see that the tellers were busy.  She invited us into her office and helped us with a kind and professional manner.  Always a warm and  welcoming experience at the South Portland branch. We are excited about the new branch in Scarborough opening.
"JWJoshua Walton1 reviewUSMar 22, 2024VerifiedMy call to Member Services was answered…My call to Member Services was answered immediately. Rebecca fixed my issue promptly and walked me through the process until it was resolved. I appreciate this level of customer service. It is rarer these days and certainly doesn't go unnoticed. Thank you!Date of experience: March 21, 2024Reply from Evergreen Credit UnionMar 26, 2024Thank you for your review, Joshua! We're happy Rebecca was able to efficiently resolve any issues you had! Best,EmmaEvergreen CU",2024-03-22T00:33:32.000Z,"<div class=""star-rating_starRating__4rrcf star-rating_medium__iN6Ty""><img alt=""Rated 5 out of 5 stars"" src=""https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg""/></div>",My call to Member Services was answered…,My call to Member Services was answered immediately. Rebecca fixed my issue promptly and walked me through the process until it was resolved. I appreciate this level of customer service. It is rarer these days and certainly doesn't go unnoticed. Thank you!
"MMM M1 reviewUSMar 2, 2024VerifiedChelsey C has helped me…& continues to…Chelsey C has helped me…& continues to help me….as I rebuild following divorce. She is kind & empathetic…she works hard for creative solutions…& has helped me tremendously….allowing me to see the steps I need to take to achieve my goals. She is a true and genuine treasure. ECU is lucky to have her. Date of experience: March 01, 2024Reply from Evergreen Credit UnionMar 4, 2024Thank you for sharing your experience with us! Chelsey is amazing, and we're glad she has helped you time and time again. Best,EmmaEvergreen CU",2024-03-02T02:45:00.000Z,"<div class=""star-rating_starRating__4rrcf star-rating_medium__iN6Ty""><img alt=""Rated 5 out of 5 stars"" src=""https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg""/></div>",Chelsey C has helped me…& continues to…,Chelsey C has helped me…& continues to help me….as I rebuild following divorce. She is kind & empathetic…she works hard for creative solutions…& has helped me tremendously….allowing me to see the steps I need to take to achieve my goals. She is a true and genuine treasure. ECU is lucky to have her.
"ALAlan1 reviewUSSep 23, 2023RedirectedExcellent Service from Cassandra HansonGreat experience with Cassandra Hanson and a lease to used-car loan.  These can be complicated, starting with the lease lienholder.  Cassandra made it easy.  Also, I would like to include Isiah, who I initially contacted, and he gave me some good tips on getting the loan process started.Evergreen has had a great team since its humble beginnings in South Portland and looking forward to the new branch opening in Scarborough.Date of experience: September 22, 2023Reply from Evergreen Credit UnionSep 25, 2023Hi Alan,Thank you for leaving a review with us. We're excited to see Scarborough open as well, and see our already amazing team get even bigger and better!Best,Emma P.Evergreen Credit Union",2023-09-23T12:48:05.000Z,"<div class=""star-rating_starRating__4rrcf star-rating_medium__iN6Ty""><img alt=""Rated 5 out of 5 stars"" src=""https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg""/></div>",Excellent Service from Cassandra Hanson,"Great experience with Cassandra Hanson and a lease to used-car loan.  These can be complicated, starting with the lease lienholder.  Cassandra made it easy.  Also, I would like to include Isiah, who I initially contacted, and he gave me some good tips on getting the loan process started.Evergreen has had a great team since its humble beginnings in South Portland and looking forward to the new branch opening in Scarborough."
"DTDan Theberge3 reviewsUSMay 31, 2024VerifiedRebecca did a wonderful jobRebecca did a wonderful job! My problem was handled quickly, friendly, and with professionalism. Always love working with the folks at Evergreen.Date of experience: May 31, 2024Reply from Evergreen Credit UnionJun 20, 2024Thank you for sharing your experience with Rebecca, Dan! We appreciate your review.Best,EmmaEvergreen CU",2024-05-31T14:44:28.000Z,"<div class=""star-rating_starRating__4rrcf star-rating_medium__iN6Ty""><img alt=""Rated 5 out of 5 stars"" src=""https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg""/></div>",Rebecca did a wonderful job,"Rebecca did a wonderful job! My problem was handled quickly, friendly, and with professionalism. Always love working with the folks at Evergreen."
